"Site Id"         ,"Id do Site"
"Install Path"    ,"URL de instalação"
"Enable"          ,"Habilitar"
"Matomo Analytics","Matomo Analytics"
"Matomo Reports","Relatório Matomo"
"You are missing your Matomo Token Auth Key.","Está faltando o token de autenticação do Matomo."
